,title,episode of,season,episode,rating,votes,original air date,year,plot
0,The Boy in the Iceberg,Avatar: The Last Airbender,1,1,8.101234567891,2011,2005-02-21,2005,"
    The legend of the Avatar is told. Katara and Sokka find a strange boy within an iceberg.    "
1,The Avatar Returns,Avatar: The Last Airbender,1,2,8.401234567891,1760,2005-02-21,2005,"
    Aang and Katara inadvertently set off a trap the brings the warmongering Fire Nation to the Southern Water Tribe's peaceful village at the South Pole.    "
2,The Southern Air Temple,Avatar: The Last Airbender,1,3,8.501234567891,1681,2005-02-25,2005,"
    After his departure from the Southern Air Temple 100 years ago, an excited Aang finally returns home but is disillusioned by what he finds there.    "
3,The Warriors of Kyoshi,Avatar: The Last Airbender,1,4,8.201234567891,1625,2005-03-04,2005,"
    The gang arrives at Kyoshi Island and are captured by some Kyoshi warriors. When Aang reveals that he is the avatar, news quickly spreads out and suddenly reaches to Prince Zuko who then goes to Kyoshi Island to capture him.    "
4,The King of Omashu,Avatar: The Last Airbender,1,5,8.201234567891,1640,2005-03-18,2005,"
    Aang's abilities as an airbender are challenged by a king.    "
5,Imprisoned,Avatar: The Last Airbender,1,6,8.001234567891,1587,2005-03-25,2005,"
    In a nearby Earth Village, the gang meets a teenage earthbender named Haru. This village lives in fear of the Fire Nation, for soldiers there capture any earthbenders they can find.    "
6,"The Spirit World: Winter Solstice, Part 1",Avatar: The Last Airbender,1,7,8.201234567891,1556,2005-04-08,2005,"
    Aang and friends visit a village being terrorized by an angry spirit. Iroh is captured by Earth Kingdom soldiers.    "
7,"Avatar Roku: Winter Solstice, Part 2",Avatar: The Last Airbender,1,8,8.901234567891,1626,2005-04-15,2005,"
    To contact the spirit of the previous Avatar, Aang must reach a temple in the Fire Nation before the sun sets on the following day. There he will learn what he must do to restore balance to the world. Zuko must defy his banishment to follow Aang.    "
8,The Waterbending Scroll,Avatar: The Last Airbender,1,9,8.001234567891,1503,2005-04-29,2005,"
    Katara, desperate to improve her abilities and teach Aang, steals an expensive waterbending scroll from pirates, causing them to pursue the group.    "
9,Jet,Avatar: The Last Airbender,1,10,7.901234567891,1538,2005-05-06,2005,"
    Aang, Katara, and Sokka have their friendship tested by a charismatic Rebel Leader who is fighting against the Fire Nation.    "
10,The Great Divide,Avatar: The Last Airbender,1,11,7.201234567891,1585,2005-05-20,2005,"
    Aang is tested as the Avatar when he must help two feuding clans cross a dangerous canyon peacefully.    "
11,The Storm,Avatar: The Last Airbender,1,12,9.001234567891,1693,2005-06-03,2005,"
    Aang relives the events after finding out that he is the Avatar 100 years ago and tells them to Katara, while Iroh tells the story of Zuko's scar and banishment to the crew.    "
12,The Blue Spirit,Avatar: The Last Airbender,1,13,9.101234567891,1706,2005-06-17,2005,"
    When Aang is captured by the Fire Nation, his only hope is a mysterious masked figure.    "
13,The Fortuneteller,Avatar: The Last Airbender,1,14,8.001234567891,1474,2005-09-23,2005,"
    The gang visits a village where a fortuneteller lives who is said to never be wrong. Aang tries to show Katara how he feels about her.    "
14,Bato of the Water Tribe,Avatar: The Last Airbender,1,15,7.901234567891,1440,2005-10-07,2005,"
    Sokka and Katara meet a friend of their father who offers to take them to join the Water Tribe's navy. Aang fears his friends will choose seeing their father again over staying with him.    "
15,The Deserter,Avatar: The Last Airbender,1,16,8.501234567891,1451,2005-10-21,2005,"
    When he meets an outcast from the Fire Nation, Aang is impatient to skip ahead in his training.    "
16,The Northern Air Temple,Avatar: The Last Airbender,1,17,8.101234567891,1416,2005-11-04,2005,"
    Aang is upset when he finds an old Air Temple has been desecrated by an old inventor and his son.    "
17,The Waterbending Master,Avatar: The Last Airbender,1,18,8.601234567891,1467,2005-11-18,2005,"
    The heroes finally arrive at the North Pole. But for Katara, the trip may have been in vain, as Master Pakku refuses to teach girls waterbending.    "
18,The Siege of the North,Avatar: The Last Airbender,1,19,9.401234567891,1918,2005-12-02,2005,"
    While Katara herself becomes a great waterbending master, Commander Zhao plans a siege on the Northern Water Tribe. Meanwhile, Sokka's on a mission to stop this siege while Aang tries to buy them some time.    "
19,The Siege of the North Part 2,Avatar: The Last Airbender,1,20,9.801234567891,158,2005-12-02,2005,"
    As the Fire Nation continues its assault on the Northern Water Tribe, Sokka, Katara and Yue set out on a search for Aang, being guided by his spirit.    "
20,The Avatar State,Avatar: The Last Airbender,2,1,8.701234567891,1467,2006-03-17,2006,"
    Aang and friends arrive in the Earth Kingdom to begin his earthbending training, but a local general convinces Aang that all he needs to do is learn to control his Avatar state. Azula, Zuko's sister, arrives to escort her brother and uncle back to the Fire Nation.    "
21,The Cave of Two Lovers,Avatar: The Last Airbender,2,2,8.301234567891,1460,2006-03-24,2006,"
    On their way to Omashu, Team Avatar is forced to travel underground to avoid Fire Nation attacks. Iroh and Zuko adjust to life as fugitives.    "
22,Return to Omashu,Avatar: The Last Airbender,2,3,8.501234567891,1382,2006-04-07,2006,"
    Finding the city of Aang's old friend, King Bumi, captured by the Fire Nation, the heroes hatch a plan to rescue Aang's earthbending teacher. Azula gathers two old friends to help her hunt the Avatar.    "
23,The Swamp,Avatar: The Last Airbender,2,4,7.801234567891,1419,2006-04-14,2006,"
    Aang hears a swamp calling to him. In the swamp, Aang and the gang find out that this is not any natural swamp.    "
